pid 68371's new affinity list: 0-11,48-59
pid 68378's current affinity list: 0-11,48-59
pid 68378's new affinity list: 0-11,48-59
pid 68381's current affinity list: 0-11,48-59
pid 68381's new affinity list: 0-11,48-59
pid 68396's current affinity list: 0-11,48-59
pid 68396's new affinity list: 0-11,48-59
pid 68400's current affinity list: 0-11,48-59
pid 68400's new affinity list: 0-11,48-59
pid 68404's current affinity list: 0-11,48-59
pid 68404's new affinity list: 0-11,48-59
pid 68551's current affinity list: 0-11,48-59
pid 68551's new affinity list: 0-11,48-59
pid 68659's current affinity list: 0-11,48-59
pid 68659's new affinity list: 0-11,48-59
pid 68768's current affinity list: 0-11,48-59
pid 68768's new affinity list: 0-11,48-59
pid 68873's current affinity list: 0-11,48-59
pid 68873's new affinity list: 0-11,48-59
pid 68977's current affinity list: 0-11,48-59
pid 68977's new affinity list: 0-11,48-59
pid 69082's current affinity list: 0-11,48-59
pid 69082's new affinity list: 0-11,48-59
pid 69186's current affinity list: 0-11,48-59
pid 69186's new affinity list: 0-11,48-59
pid 69292's current affinity list: 0-11,48-59
pid 69292's new affinity list: 0-11,48-59
pid 69398's current affinity list: 0-11,48-59
pid 69398's new affinity list: 0-11,48-59
pid 92854's current affinity list: 0-11,48-59
pid 92854's new affinity list: 0-11,48-59
pid 67989's current affinity list: 0-11,48-59
pid 67989's new affinity list: 0-11,48-59
pid 68021's current affinity list: 0-11,48-59
pid 68021's new affinity list: 0-11,48-59
pid 68054's current affinity list: 0-11,48-59
pid 68054's new affinity list: 0-11,48-59
pid 68091's current affinity list: 0-11,48-59
pid 68091's new affinity list: 0-11,48-59
pid 68093's current affinity list: 0-11,48-59
pid 68093's new affinity list: 0-11,48-59
